Link_Name,Link_Type,SERVICE,Rack,OTB,Port,Distance (m),KET
DSL17800,TX,TV + INTERNET,1,6,41,10655,
DSL17800,RX,TV + INTERNET,1,6,42,10655,
DSL23700,TX,TV + INTERNET,1,6,43,7354,
DSL23700,RX,TV + INTERNET,1,6,44,7354,
SLM PE 03 INTERNALLINK SPIDER HLD PE 01,,,1,6,45,8711,
RUMAH SESJEN KOMPLEK AL / IR HARJOSUSMORO,,,1,6,46,3441,
ASKRIDA TOWER PRIMARY,,SPYDER,1,6,47,3000,
ASKRIDA TOWER PRIMARY,,SPYDER,1,6,48,3000,
DSL13200,TX,TV + INTERNET,1,7,1,3064,
DSL13200,RX,TV + INTERNET,1,7,2,3060,
DSL12600,RX,TV + INTERNET,1,7,3,3373,
DSL12600,TX,TV + INTERNET,1,7,4,3373,
DSL12700,RX,TV + INTERNET,1,7,5,4485,
IDLE,,,1,7,6,-,
DWDM SLM CTN RE-ENG / DWDM METRO SLM <> CTN,,,1,7,7,11900,
DWDM SLM CTN RE-ENG / DWDM METRO SLM <> CTN,,,1,7,8,11900,
HOTEL GRAND MERCURE,,TV ONLY ANALOG,1,7,9,11706,
IDLE,,,1,7,10,-,
DSL13100,RX,TV + INTERNET,1,7,11,2796,
DSL13100,TX,TV + INTERNET,1,7,12,2796,
DCS DITJEND EBTKE ( ESDM ),,DCS,1,7,13,4489,
PROMENADE / PRO,,,1,7,14,9.937,
SLM BSP VIA RE-ENG / DWDM LH SLM <> CG / DWDM Cisco LH CTN <> SLM,,BACKBONE,1,7,15,14445,
SLM BSP VIA RE-ENG / DWDM LH SLM <> CG / DWDM Cisco LH CTN <> SLM,,BACKBONE,1,7,16,14438,
DSL13300,TX,TV ONLY DIGITAL,1,7,17,6595,
IDLE,,,1,7,18,-,
DCS METALOGIX INFOLINK PERSADA,DCS,,1,7,19,8.312,
MTG-PE-01 ODC MENTENG,,,1,7,20,4802,
MTG-PE-01 ODC MENTENG,,,1,7,21,4803,
DSL13400,TX,,1,7,22,,
DSL17400,TX,TV + INTERNET,1,7,23,6268,
DSL17400,RX,TV + INTERNET,1,7,24,6268,
DWDM UJB SLM<>CTN,,,1,7,25,14274,
DWDM UJB SLM<>CTN,,,1,7,26,14277,
IDLE,,,1,7,27,-,
IDLE,,,1,7,28,-,
IDLE,,,1,7,29,-,
IDLE,,,1,7,30,-,
IDLE,,,1,7,31,-,
IDLE,,,1,7,32,-,
IDLE,,,1,7,33,-,
IDLE,,,1,7,34,-,
IDLE,,,1,7,35,-,
IDLE,,,1,7,36,-,
DCS METALOGIX INFOLINK PERSADA,DCS,,1,7,37,8.312,
DSL17000 / TV US EMBASSY   ( SLM-PE-10-to-USE-PE-01 )  ,PE-10-to-USE-PE-01,TV ONLY,1,7,38,5295,
DSL13900,TX,TV + INTERNET,1,7,39,4698,
DSL13900,RX,TV + INTERNET,1,7,40,4698,
DSL13800,TX,TV + INTERNET,1,7,41,10416,
DSL13800,RX,TV + INTERNET,1,7,42,10416,
DSL10900,TX,TV ONLY DIGITAL,1,7,43,8602,
DCS PERMATA BANK CIKINI,,DCS,1,7,44,2828,
HOTEL LUMIRE REDUNDANT / NO LEBEL,,TV ONLY ANALOG,1,7,45,7196,
DSL228,RX,TV + INTERNET,1,7,46,8270,
PUSKU KEMHAN,,DCS,1,7,47,5042,
CS US AMBASSY,,DCS,1,7,48,5306,
DSL230,TX,,2,1,1,7935,
DSL230,RX,,2,1,2,7935,
DSL229,RX,,2,1,3,7049,
DSL229,TX,,2,1,4,7049,
BIMANTARA CITRA ALOET HOTEL,,,2,1,5,-,
JAYA REAL PROPERTY,,,2,1,6,5356,
HI HOTEL SENEN,,TV ONLY ANALOG,2,1,7,5357,
IDLE,,,2,1,8,-,
IDLE,KE,,2,1,9,-,
BIMANTARA CITRA ALOET HOTEL / Hotel Aloft Wahid Hasyim,,,2,1,10,9925,
Rsebuild FTTH BB JBU01 TO HUB SALEMBA,TX,,2,1,11,5739,
Rsebuild FTTH BB JBU01 TO HUB SALEMBA,RX,,2,1,12,5738,
DSL08000,TX,,2,1,13,1835,
DSL08000,RX,,2,1,14,1835,
DSL08100,TX,,2,1,15,1835,
DSL08100,RX,,2,1,16,1835,
DCS BANK DANAMON / BANK_DANAMON_INDONESIA[SLM-DANAMON-N520-01-D00153,,DCS,2,1,17,9037,
DCS RSIA BUNDA WINGS UMUM,,DCS,2,1,18,10578,
DCS JASNITA to IDC,,DCS,2,1,19,8097,
DSL24900,,,2,1,20,7204,
IDLE,,,2,1,21,-,
DCS AMANTARA,,DCS,2,1,22,7511,
IDLE,,,2,1,23,-,
DSL24900,,DCS,2,1,24,7204,
IDLE,,,2,2,1,-,
IDLE,,,2,2,2,-,
IDLE,,,2,2,3,-,
IDLE,,,2,2,4,-,
IDLE,,,2,2,5,-,
IDLE,,,2,2,6,-,
IDLE,,,2,2,7,-,
IDLE,,,2,2,8,-,
IDLE,,,2,2,9,-,
IDLE,,,2,2,10,-,
IDLE,,,2,2,11,-,
IDLE,,,2,2,12,-,
IDLE,,,2,2,13,-,
IDLE,,,2,2,14,-,
IDLE,,,2,2,15,-,
IDLE,,,2,2,16,-,
IDLE,,,2,2,17,-,
IDLE,,,2,2,18,-,
IDLE,,,2,2,19,-,
